Category	Descript
other	Next time definitely for leisure!
bug	The 2:1 soap/ shampoo dispenser in the shower was broken and did not dispense anything.
other	Room are very good and clean.
other	this is the email i sent them regarding the problem i was having:
bug	very small lift..
other	very small lift..
other	it is a first person shooter game
other	The bar and restaurant staff were very good , in general all the staff were very warm and friendly , with regards to the car parking , you may see some negative comments but it`s ok , the car park is located in a private multi storey park and is about 5 minutes walk back to the hotel , if using this option then take time to google the street view for Union Quay Car Parks Limited in Copley Street , although the hotel will supply a map , I just found it much easier having already seen the layout before my visit , at the time of our visit it was 9 Euros per night
bug	The bar and restaurant staff were very good , in general all the staff were very warm and friendly , with regards to the car parking , you may see some negative comments but it`s ok , the car park is located in a private multi storey park and is about 5 minutes walk back to the hotel , if using this option then take time to google the street view for Union Quay Car Parks Limited in Copley Street , although the hotel will supply a map , I just found it much easier having already seen the layout before my visit , at the time of our visit it was 9 Euros per night
other	Clean bathroom with plenty of shelving.
other	The reception staff allowed me for early check in.
other	The hotel is very big and my room was located at the very end of wing by the sea front.
bug	The hotel is very big and my room was located at the very end of wing by the sea front.
other	IT is the best game that i had ever played it is coolest and game with easy use
other	I got it downloaded yesterday and now it's a competition between my husband and I.
other	Stayed here 3 nights while I was in town attending a conference.
other	It's the kind of game you don't need to put much thought or effort into, just pick up and tap.
other	The location is perfect : walkable distance to all major attractions.
other	Hoy 26 de Julio del 2014, veo que el dominio luckywire.com a expirado, y junto a él el sistema de búsqueda de su software.
other	Nothing to dislike.
bug	I have always found great service in other Mandarin Orientals, but not in this one.
bug	Room service is very slow and the staff appears to be helpful and pleasant but they do not do the tasks.
bug	The new layout is a catastrophe.
other	Rooms were large, modern and clean.
other	Can be used as boarding pass.
other	when you first get there, you think... what did i book, but it is absolutely amazing.
other	I just want to review CoD WaW, and to be heard on the internet.
other	Afterward I was able to reinstall flawlessly!
other	It's a great game just for simple piano.
other	I add things to my wish list daily and have already purchased many of them.
bug	Now it is impossible for me to log in!!!!
bug	Now it is impossible for me to log in!!!!
other	Near to latinquater
other	This is a new hotel but does not deserve a top rating.
bug	This is a new hotel but does not deserve a top rating.
other	I like the simple steps (room size, 2D plan, 3D visualisation).
other	Looked forward to using this after version 2 - foolishly purchased it.
bug	Looked forward to using this after version 2 - foolishly purchased it.
bug	The cleanliness of the hotel is questionable.
bug	Very dissapointing with that price of the hotel.
other	10/10 Superb!
other	We went last month to the four seasons hotel to take the gouter, and our waitress was INCREDIBLE.
bug	For a 4 Star Hotel, there should have been a fridge in the room, with complimentary water bottles, a kettle, tea bags, coffee sachets, slippers.
other	Thank you for this amazing game!
other	functional and powerful.
other	Pinterest is my all time favorite social network.
other	Lovely place to stay in Barcelona beside the fantastic restaurant Dos Palillos.
other	I booked this hotel based on the good reviews the day before my stay.
other	The manager then provided a dehumidifier and a scented oil burner, which helped.
other	We stayed at the Wittmore for a few days in May 2017. It's hidden down a side alley.
other	Location a little far from city center but plenty of transport options.
bug	Location a little far from city center but plenty of transport options.
bug	Microsoft is amazing doing this app worst and worst.
other	Overall it is good.
bug	The only thing was the rooms had a faint smell of damp until aired out
bug	Quite poor cleanliness destroyed my mode during my staying.
other	And exactly what is that, you ask?
bug	This hateful
other	The room was lovely and very modern - so light, open and spacious.
request	I understand there are rights issues, but can't you even include all RTE produced programmes?
bug	I understand there are rights issues, but can't you even include all RTE produced programmes?
other	The clothes are soft and of very decent material for a "free" item.
request	would have lloved tea/coffee making facilities in the bedroom.
bug	Downloaded app but nothing worked.
other	its very interesting game
other	We stayed at this hotel within walking distance of the Bastille and Notre Dame and the Latin Quarter and were pleasantly surprised by the comfort and feeling of "home".
request	For such a price for one night, breakfast may as well be included.
other	We will stay here the next time for sure.
request	Give me back the old Skype!
bug	Give me back the old Skype!
bug	Do not get this music app.
other	Furthermore, the meal was incredible.
other	While this game might seem childish at first it is actually challenging and fun.
other	Thanks
other	It was great.
bug	2. Compatibility issue: Some of the PDFs are unable to choose texts while there are no problem opening the same document using Acrobat Reader.
bug	Takes so much long to quit
other	I think my phone is ok since it's new, a lot of free space, big ram, etc.
other	The hotel is nice, staff was pleasant, but didn't meet our expectations 100%.
bug	The hotel is nice, staff was pleasant, but didn't meet our expectations 100%.
request	Only thing I would like to see changed is the fact when ur magickarp retires you have to start the league at the beginning again.
bug	Enterance of hotel is on a very busy intersection.
undetermined	Completely defeats the purpose of the always getting better program..
bug	As of this moment Charizard isn't worth the purchase.
other	This hotel is a hidden gem in the Gothic Quarter.
other	Extremely kind and accommodating staff.
bug	All links to buy lead to page can't be found,can not find how much it will cost me.
bug	His cooldown is too long for what he gives most of the time.
other	I think it is not to good but for my job as a newspaper it is very very very very useful *****
bug	Useless!
other	The staff was excellent, very friendly and helpful.
bug	No minibar.
bug	On the last day a drank man that trough up in the pool around 1.30 pm yuck
other	This is a great game that my mother and I enjoy together.
other	Just over a year old hotel, clean rooms, a god breakfast buffee, a nice and helpful staff.
request	I think LG PC Suite could use a lot of fine tuning.
bug	Mistake 1: when we arrived the hotel told us that the oberoi had a booking for the day before and Mistake 2: we asked to go for dinner at a fun place and they booked a dinner in the EMPTY lounge of an hotel!!?
other	Staff and breakfast were fabulous!
other	Room service is very nice.
other	Helpful staff.
bug	Old and tired.
other	Excellent tool for Excel to VCF conversion.
other	great and reliable
other	It is 2 blocks from Paseig de Gracia, a street with lots of stores and attractions.
other	You can install it, but you can't import ebooks.
bug	You can install it, but you can't import ebooks.
other	A great app and great way to book some holidays.
bug	Food at restaurant was below average and very busy.
other	The location was great
bug	The only answer to the question why they are treating me like that was that there is no iron available at the moment.
other	funtastic
bug	Whenever I get out of my room through the access pool or the corridor, very bad water small hit my head.
other	It's got such a neat atmosphere.
other	Or you just take the busses or the metro, which are some steps away.
other	This game is amzing I already have this game on my pc but i will download it for my laptop.
bug	- The parking lot is expensive (€20/night) and to get in/out is painfull.
other	My wife and I recently stayed at Hotel Bagues in Barcelona.
other	[NAME], I like it!
bug	VERY DISAPPOINTING!
other	I think it is by far the best free download,for a simple to use editing programme,thank you very much for the privaledge of being able to use it.
bug	Half the hotel was shut down for renovations, we received no notice and affected our stay
other	Yeeeeeeeeeeeeeeeeeeeeeeeeeeepiiiiiiiiiii !
bug	The app used to work.
other	The check in was very personal including remembering this was not our first stay at the hotel.
other	it is the best game ever
other	Toy Bonne Chica Toy Foxy Margeg Fred Dead
other	The hotel is very compact but efficiently designed.
bug	I'd be ok with seeing 2 or 3 per day but in the last couple of weeks it's been totally unacceptable, one every 3-4 posts.
other	Location of the hotel is fantastic.
other	Great service because they have great customer service!
other	Great game for kids and adults alike!
other	Bus 98 right outside to go to airport another convenience.
bug	It is a long walk to the breakfast and hotel entrance.
other	It is 5 minutes walk from the Place de la Concorde, less than 10 minutes from the Louvre and easily within walking distance of most of the major sights of Paris.
bug	Very difficult to make installers with large amounts of files
undetermined	The Barcelona could be seen from this hotel is just fake.
other	I am fine with having lost my progress, at least there is a good customer support, which I value greatly.
other	fantastic
other	it is a good peice of software and it is a nice thing to use
other	The hotel restaurant was amazing the one night we had dinner at the hotel.
other	People on the beach trying to sell stuff
bug	I cant see who is online and who isn't.
bug	we were placed at the old building contrary to the one in the picture.
other	Decent , but the included animations are confusing and very un user friendly.
bug	Decent , but the included animations are confusing and very un user friendly.
other	The location is also fantastic, by the subway, shopping, and restaurants.
other	Everything
other	Perfect contemporary boutique style hotel in the gothic quarter.
other	We were laying in bed at about 7pm before we went out.
bug	Also not able to have breakfast.
bug	Staff is really clueless, do not take their advice!
other	I tried to install filezilla and my virus program AVG warns me of a virus.
bug	breakfast was poor, parking in private car park was disaster as had to walk way too long distance to hotel,price was expensive for one night and parking to be paid extra was not fair....
bug	Can only get a programme to play about every 1 in 10 attempts if i'm even lucky then.
bug	Can only get a programme to play about every 1 in 10 attempts if i'm even lucky then.
bug	It's hard to work with in Snapchat.
bug	PLEASE FIX THE NOTIFICATIONS.
other	Thanks & keep them coming.
other	very attentive staff and really good food.
other	Of course it's a minor issue.
other	real good im happy about it
other	Beautiful guesthouse.
other	My wife and I stayed here before going to a wedding in Mallorca.
other	Have did several ideas from it!!
other	The hotel is very centrally located and we could walk to so many attractions.
other	There are temporary desks for check-in.
other	But the app is overall great.
bug	Poor lighting , very few English language channels , bathroom decoration a bit outdated
other	The room was very nice and spacious.
other	I really don't want to be steered away from using this app, as it is one of my primary sources for communication with friends.
other	cricket is the good game
other	Very close to Louver and many attractions as well as easy walking distance to St Germaine area.
other	Luggage room free of charge if you are flying later then the check-out time.
other	Including the "chef's favorite" which I always expect to be outstanding.
other	it is beautiful but i want easy download links
bug	it is beautiful but i want easy download links
bug	There was construction work all over the place, during the day we could either hear the doof Dood of the music or the sound of a jack hammer coming from the pool.
other	thank you softonic.
other	It looked very classy.
other	This hotel was a great surprise in Barcelona.
bug	Also you cannot unfollow anyone because you press it and yet you still see there post ect....
other	#1 Video Editing Software!!!
other	Heated pool is great.
other	This is a super application,which is very useful for all kinds of people.
other	Its good that they put in the Misson editor if not it would be a big shame not editing..
other	Please READ the review titled "Horrible Software". If you ever have that feeling, I can only imagine 2 possibilities.
bug	Even the new rooms are dated.
other	I have spent the last 2 weeks trying out various privacy programs that hide your IP to allow for anonymous surfing.
bug	Meals weren't that good.
other	best app of its category
other	no problem for configurations.
bug	The car park is not conveniently located too far to walk on a wet day.
other	I first started programming C++ about 4 years ago.
bug	Please do not get this stupid music app!
other	We absolutely loved the Hotel DO.
bug	Service can be better!
bug	Very unpleasant smell of moist in rooms (we had 3 rooms with different locations), long waits for breakfast, unprofessional staff at dinner restaurant making us wait for 40 minutes to get a bottle of wine, unflexible with late checkouts (requested only until 14:00). This was our first visit to Bali and we wanted to stay in a familiar chain that we now, we have stayed various times in Sofitel Lisbon, Paris and Amsterdam, however Sofitel Bali is just not at that level.
other	Bring back Sense8, keep bringing us original content and stay away from being like the networks with their cookie-cutter shows.
bug	Don't ever use this crap!!
other	All in all a solid effort and a lot easier than I've ever seen before.
other	* High degree of Customization (can change skin/theme, background colors)
other	Very good App, but cannot logout.
bug	Very good App, but cannot logout.
bug	Very old bathroom.
bug	Did not find hotel wasy on my gps or google map
other	This happened every day.
other	Nice usability, saves boarding passes for offline use.
other	This new version is a lot better than when I tried it before.
bug	Poor rooms and service for amenities not working.
other	I asked what she thought she was doing and she made some feeble excuse of asking if I ordered a cork screw.
other	They are nowhere.
other	If you are a fan of M.U.G.E.N. and an even bigger fan of Naruto
other	When abroad it is good to be able to send the occasional SMS.
other	The triple was perfect for our three children.
other	Been using Skype for over 10 years.
bug	There is no telephone in the room, may be that helps us to call the reception and make enquires, though not a big bug.
other	Why don't you download now?
other	It should be written "1500 metre " after we met Summer Hill North road.
other	I Thumb Up!
bug	Bathroom was flooding with water after every shower, need extra towels in the room.
other	MotoGP2 is my favorite Game, I had it on XP but now I need it on Windows 7 PC
other	it is super cool
other	I'll give 4 stars then despite some other issues.
other	Ohla Eixample is a recently open 5 star hotel in a very central area of Barcelona.
other	The hotel has a good brand and great location but desperately needs modernization and renovation.
bug	The hotel has a good brand and great location but desperately needs modernization and renovation.
bug	Service was bad,i have to wait very long time just for check in,the room was not ready at 3pm,and so many other guess have to wait too.
other	The building itself was fully renovated into an older yet modern British take.
other	The staff was amazing and our room was wonderful.
bug	useless because of the big watermark in the middle.
other	If my laptop were a toy, this would all be fine.
other	It good program for converter and easy to use.
other	Because I like movies,so I make downloading.
bug	There was a large wedding that went on and on for days.
other	Also, if I do Alt+F4, it don't close!
other	I'm addicted.
bug	Long queue just to have breakfast (maybe seats are limited).
other	Great spot for the Grand Prix, fantastic rooftop bar and pool.
other	(visited at the end of November)
other	Itunes 12 needs a newer computer with SSE2. My old PC from 2004 has only SSE.
bug	New design from the update is no good (not user-friendly) especially from the elders.
other	I love this game
other	I think it is good but needs adjustments because for example it wouldn't let me connect to snapchat and I know it might just be my internet but I have checked that and it is still not working
bug	I think it is good but needs adjustments because for example it wouldn't let me connect to snapchat and I know it might just be my internet but I have checked that and it is still not working
other	i have not had any problems with game.
other	It has cool style and design, but feels casual and comfortable, not too stuffy at all.
bug	brunch at ccc restaurant is not as good as i expected it to be
other	game
other	Right in centre.
bug	I'd like to be able to see who's online, so I know their whereabouts, as well as their statuses and description or the "About Me" if you will.
bug	Uninstalling.
other	Ohla Eixample is a recently open 5 star hotel in a very central area of Barcelona.
bug	under renovation the hotel needed updating and there were no shelves in the cupboards to put your stuff in only hanging space.
other	It have anything you need to edit simple text and program code.
bug	Second bar too full so when we all met at 1830 had to go to a local pub!
bug	The English speaking TV channels appear to mainly cater for USA audiences - there are others ie Sky and BBC - were listed as being available but sadly never appeared ??
other	nyc game
other	Nicest hotel room in my life.
bug	When I downloaded it i needed to buy it!!!
other	The hotel is quiet, classy and the staff are wonderful and attentive.
other	game is fun and easy to play.
other	i've only been playing for 3 days and already (even with the 1 hour time limits) i'm very far ahead!
other	Most people say that free keyloggers are not trustful and they may contain some virus and harm your computer.
bug	we was very upset about our room we felt it not clean when we first arrived there was toothpaste still on the tap where the last people had spit it all over tap and it made us wonder had the toilet been cleaned?
other	Both mobile and desktop friendly.
other	With many different plane, different weather, and different airport, you will be like the real Pilot.
bug	First time staying here and should have stayed where we normally do.
other	I don't have many order issues, but when I do they are responsive (usually within 24 hours) and do not give you grief!
other	Romantic.
bug	If things don't change I'm gonna delete the app.
other	They left a birthday cake and champagne in the room on my partners birthday as i requested.
other	it is a very user-friendly dictionary application I know.
other	Half my wardrobe will be from this site when I'm done.
other	We loved this Oberoi, but it might be too quiet/ not enough activities for a younger couple or young children.
bug	We loved this Oberoi, but it might be too quiet/ not enough activities for a younger couple or young children.
other	Thank you for creating this wonderful game!
other	Our room was beautiful and our breakfast had many choices, something to suit all the family.
other	There is nothing I didn't liked.
other	Very elegant rooms.
other	Room service [NAME] took our orders and delivered efficiently , parking is very convenient
other	It is the best game in the world
other	Located at back of hotel.
other	I don't have to think while playing it and the payoff of getting more friend pokemon keeps me playing.
other	Let's now explain to all the non techy people we know that the little square with a half moon is the camera icon!
bug	Afternoon tea with limited time: 16-17 o'clock.
other	Also one bar was closed for a private party
bug	Stealing other applications features and putting into the Facebook and the Messenger.
other	My best score is 1100 but I don't know in Wich song.
other	I've loved all items I've ordered but make sure to read the store ratings prior to purchase as well as customer reviews.
other	The hotel is in a fantastic location and centrally located.
other	The staff is extremely nice and helpful, the rooms are very comfortable and the breakfast rich.
other	Our stay in this hotel was spotless!
bug	The facility inside needs upgrading.
other	This was a special mother-daughter trip celebrating my mother's first trip to Europe and her 72nd birthday.
bug	Don't go reinventing the wheel to try and look like your ahead of the competition.
request	I loved the Skype preview for Windows 10, why couldn't you make something similar to that?
other	This package was development for Windows 7 or only Win2000/NT/XP/Vista.
bug	Why you should "make better" something that do not need.
other	[name] is one of the Best chefs in town, but the hotel service is even better.
request	I WANT THE DOWNLOAD >.>
other	It has a great and wide selection of classical music, the majority being piano-oriented.
bug	After multiple re-installs (and phone restarts) and manually giving the app camera permission, the app fails to launch the camera to take a selfie.
other	All staff we met were welcoming and professional.
other	Love this company, despite moaners gives the chance to move around Europe like no-one before.
other	So far I've used it via text message, works great on my end being the deliver of bitmoji.
other	Breakfast is very good with tipical flavours from Catalunia.
bug	When we requested a very late checkout as we did not leave Indonesia until midnight the latest we could have was 4.00 pm.
other	We did not realize that there are old and new buildings / rooms.
other	-It's a beautiful hotel and historical with the back part of the hotel made up of Roman era walls.
other	Quick and easy.
bug	I dont know why you guys are giving bad review this app works great
bug	There was a fan in the living room however it was slow and we were sweating everytime we sat there.
other	goood
other	Conveniently located on Passeig de Gracia (commonly known as the most fashionable street in all of Barcelona), SixtyTwo Hotel met all of my expectations.
bug	They suggested Potato Head but (1) booked a table at 8pm when basically the place is empty and people are leaving and (2) said it was not possible to go with informal attire such as shorts, only long trousers!!!
other	The location made it easy to walk into the town and the gasto pub food recommended by the hotel staff turned out to be superb.
bug	Tracking information is never updated.
other	NIL
other	Lots of free items, too, and all you pay is a small shipping fee.
bug	Very noisy on Sunday (loud music at bar). Lightning system in room not well designed (switches at inconvenient places). Breakfast was looking fancy but average quality.
other	When planning a return visit to Paris, we decided to pick a new area instead of the usual St.Germain des Pres.
request	Rooms have standard key, maybe should be updated to key card system.
bug	This new layout is UGLYYYY.
other	That's all.
other	;)
other	very good
other	downloaded weather channel desktop 6 and the antivirus popped up with TROJ_GEN.
bug	It was difficult to get in or out with a trolley (have an escalator to the main floor). Even basic stuff like stuff for kids that they advertise in the lobby isn't there.
other	I to have recently bought a new laptop with windows 7.
other	I love the app but to be honest...
other	First this isn't the actual show box app....
other	it is fast, but the controls are lousy, plus it keeps installing on my desktop shortcuts to place I don't want.
bug	it is fast, but the controls are lousy, plus it keeps installing on my desktop shortcuts to place I don't want.
other	First You should complete main campaign with one of the three roman families (Julia, Brutie, Scipii)
other	Great location in Dublin.
other	Installs other software with it.
other	There are tons of good deals on here, but definitely read the reviews before finalizing any purchases.
other	Why do we bother to pay TV license?
other	It serves its purposes all the time.
bug	On arriving at hotel we found that there were much better value for money offers available in this hotel and in surrounding hotels and we were not even offered an upgrade.
other	I highely recommend the Hotel Keppler.
other	Also use APPREWARD is a newer app refer (wb21pb) get 50 FreeGiftzCard cash but is very reliable.
bug	Cracks in walls, missing plaster floor boards coming up.
other	This game is cute and addictive.
bug	Calls for more towels go unanswered and served.
other	This game is incredibly cute!
bug	The Forums are almost 0 help
other	The hotel is very nice and [name] in the reception was super helpful; she is a star and so helpful....
other	The hotel is a short walk away from nice restaurants and the metro.
bug	it was horrible I had it for months no problem then I had to pay for it to upload it so I'm not wasting $40 on one year of editing!!!
other	If you want to feel like a european minority among not Sofitel guests-chinese people having comfort and fan next to you, this hotel has to be your choise.
other	baest game in the world
bug	Come on!
other	Lightning fast
other	I think someone needs to find a dictionary and learn to spell these words right.
bug	the room was not in good condition
other	I kept telling the waiter that I was allergic to shrimp and to separate the shrimp from the platter but they kept mixing it other than that nothing bad to say about Sofitel!
bug	I kept telling the waiter that I was allergic to shrimp and to separate the shrimp from the platter but they kept mixing it other than that nothing bad to say about Sofitel!
other	Very impressed with this hotel.
bug	Unfortunately Viber and I have been having problems for a few months now.
other	I stayed here with my wife during a business visit to Barcelona and it transported me to a different world and time.
other	We (my husband, my little daughter and I) stayed here for 8 days.
other	Great staff, team and all really good to help people's.
bug	App constantly crashes and looks like it was designed in 2009... Have to open the app multiple times before I get to a login screen, usually receiving a 'not responding' error.
bug	App constantly crashes and looks like it was designed in 2009... Have to open the app multiple times before I get to a login screen, usually receiving a 'not responding' error.
other	Nice game but there are too much ads..
bug	Nice game but there are too much ads..
other	The location is prefect, near the sea and the center of the city.
bug	My rating is terrible.
other	Everything about this hotel is superb.
other	very easy to download.
other	bought the software.
bug	One minor downside is there there are no mini bars or fridges in the rooms.
bug	It regularly says "disconnected", won't send messages between my husband and I for 10+ minutes at times(even connected to fast wifi) and is a pain on both slow wifi and data.
other	Its wooded and pretty quiet.
other	Highly recommended for a romantic stay in Barcelona.
other	We stayed here in April for 5 nights, and were very pleased with everything.
bug	But this one is in very poor condition.
other	very good game thats all like real
other	Breakfast is delicious.
other	I stayed there for four nights
other	Our room was very large and appointed terrifically and the bathroom was huge and gorgeous.
other	Rome Total War is the best strategy game among total war series.
bug	Had to wait half an hour for our drinks in the bar.
other	Also is Free.
bug	It might be time for me to go back to using Swift for facebook
other	Room : excellent
other	the explosion
other	corporated by Microsoft
other	* Includes new RainBrowser config manager.
other	Very challenging yet rewarding.
other	I bought Sodapdf 6 - worked well until stopped 'Saving' additional pages to a Document.
bug	I bought Sodapdf 6 - worked well until stopped 'Saving' additional pages to a Document.
bug	The beds are quit hard.
other	Wonderful location as it was close to restaurants, the old town, shopping, bus station, beach, car rentals & parking.
other	Of the two rooms we stayed in, one had a plunge pool.
other	The option is to park on the streets around.
other	We had two rooms, a triple and a double.
other	Thank you, have a nice time, and please consider these factors as well as read this review and comprehend it.
other	The price of food and extras.
other	But it's not.
bug	Wouldn't have been so bad if they'd have at least sat one parent near to our child rather than three seats the furthest they could possibly be away from each other!
other	[name] leads the team that is friendly, helpful, thoughtful, attentive and very accommodating.
other	its a great game it have alot of levels i only played the demo online put to simple its one of the best games i have ever played
bug	Fake and full of adware, unable to run any IOS apps until you pay for it and the license is very expensive.
other	We stayed at this lovely boutique hotel, situated on a charming, quiet street and very short walk to the Seine river, Notre Dame, and lots of shopping everywhere around it!
other	Nice bar and breakfast restaurant (we didn't try the evening meals) and we didn't try the spa.
other	I need for this program and look for it a long time ago
other	This is so cool!
other	Clean with everything you need.
other	i want winsetup usb work with win8
request	does anyone know how do download haerthstone on a apple pc
other	You can't get a better location.
bug	The bed was very hard and pillows too.
other	The general ambience of the hotel is very nice as indeed were all the staff.
bug	I don't want to manualy download desired GIF to send it, rather want to find it directly as app extension.
request	I don't want to manualy download desired GIF to send it, rather want to find it directly as app extension.
bug	Have stayed here many times and this was by far the worst yet.
bug	Please fix this quickly, because I really love this game - and I don't want to have to uninstall it because it doesn't work.
other	Please fix this quickly, because I really love this game - and I don't want to have to uninstall it because it doesn't work.
other	I love the ability to constantly change what the Bitmoji is wearing and what he/she looks like.
bug	Sunken pool bar feels abit oily from everyone in and out of the sun with sunscreen and oils
request	what is the process and method.
other	The software does look great , however is not compatible with windows 7 :-(
bug	The software does look great , however is not compatible with windows 7 :-(
other	A very nice stay at the Malte Hotel.
bug	Not a user friendly interface and so much more.
bug	Very disappointed, irritated, disgusted.
other	Many more facilities and services to help me.
bug	I run a 3.4ghz quad core, 16gb system memory, with dual GTX 760's in SLI -this thing STILL takes FOREVER to load, and runs slower than molasses once it's up.
request	I have galaxy s7. How do i get it to appear in my verizon message+ app?
other	Ive only ordered a couple things so far just waiting to recive them to check quality and how long it will take to ship..
bug	Various emails send to customer service have not fixed this problem.
bug	After I again activated it all the photos vanished.
other	Few addon but is ok.
bug	Few addon but is ok.
other	Everything was just perfect.
other	The lady at front offered hairdryer and map of city.
other	[name] was extremely helpful to us, as well as extremely pleasant.
other	We really had a nice stay at this hotel.
bug	There were also building works near the pool which was a annoying when trying to relax by the pool.
other	Thank you from the bottom of my heart.
other	Didn't get a chance to use their amenities as in town for Rock on the Range.
other	Breakfast was good, however varieties seems reduced from the last time i was there 2 years ago.
bug	Breakfast was good, however varieties seems reduced from the last time i was there 2 years ago.
other	The staff in The Imperial made our short stay there very special with their warm welcome and friendliness.
bug	Hotel management explained this "winter season". Breakfast is very poor, room service has limited worktime, mini bars in the rooms are empty, there is not even water
other	Or have bath robes.
bug	The reason this program is free is because it is worthless.
bug	Expat Shield was a pain to install, bombarded us with ads and spam, and made watching BBC not worth the hassle.
other	If I had to pick a niggling point, it would be that the bed we slept on, had a beautiful wood surround around the mattress as well as the fact it was a four poster bed, however, even though there was a step to assist us to get onto the bed, I found it a little difficult to get onto and off the bed without assistance from my husband.
bug	If I had to pick a niggling point, it would be that the bed we slept on, had a beautiful wood surround around the mattress as well as the fact it was a four poster bed, however, even though there was a step to assist us to get onto the bed, I found it a little difficult to get onto and off the bed without assistance from my husband.
request	It would be nice if it could appear as emojis on other apps beside snapchat though..
bug	Couldn't find a place to sit.
other	it is very good
other	Stayed 5 nights at Hotel d'Aubusson and it was great.
other	i think it was a very good game
other	very nice programs I and my kids like them.
bug	The new layout is hideous.
other	This boutique hotel is situated on a quiet residential street yet close to all the shopping and cafes.
other	Room decor is bit on the 'sparse' side.
bug	Room decor is bit on the 'sparse' side.
other	All of the staff are excellent, helpful, very friendly and efficient.
bug	Where do I start, the reception staff were rude and uninterested, the bathroom was dirty and mouldy, the pool we looked out onto was noisy with loud music usually until 9pm but for some reason the first night we were there it was still going at 11pm.
other	Nice breeze at night and ceiling fan.
other	Perfect Boutique Hotel if you are in Paris.
other	Plus points i like : new emoji, voice n video chat
other	It's really worth to download and start using MS Player.
other	the beach club was excellent.
other	Mount and Blade is a lot of fun.
bug	I really don't want a Skype memory story or to be forced into ombre text bubbles.
other	The game is great, when it opens...
bug	The game is great, when it opens...
bug	Slow.
other	Specially for the late check out service, it's really good for us.
bug	That specific room was situated near the parking area so it was a bit uncomfortable to see people walking and looking at us swimming, since the barrier/wall/plants were not tall enough.
request	It would be nice to customize a little more and pick shirts and pants not together new movie is options or newer shows or make up your own sayings
other	Thumbs up for cleanliness, nice spacious rooms and and everything modern.
other	Hotel Le Six is a chic hotel, very nicely presented and cool looking.
bug	When i signed up i was promised a free item that I had to pay $1 for shipping and handling which was fine until it seems as if i was given the run around about my package that i still have not received.
other	We will definitely stay here again, only longer next time.
other	the weapon
bug	The new algorithm way means I miss a lot.
other	we have to pay 45 extra euros a day as upgrade.
bug	Refreshing the feed regularly gives a different order.
other	I read reviews carefully and keep looking till I find the best price and shipping combo.
bug	This redesign is terrible.
bug	No coffee pot in room is a BIG negative for me.
bug	No options to change it back??
request	No options to change it back??
other	I honestly can't not fault this hotel .
request	I think they should also come up with some points system.
bug	But this camera has way too many ads.
other	Maybe i'll add some words like "cute graphics" and "smooth animations".
other	That is ridiculous.
other	Breakfast was huge and delicious.
bug	Its just crappy additions to a decent app.
other	Overall, a great stay.
other	i like to halo game
other	I called for an iron and ironing board ca.
other	We stayed for 3 days in Room 11 - which is a small room right above the entrance to the hotel, facing out into the square.
bug	I needed an app like deezer, but when i turned it on it would only play the song on my phone.
other	From the moment you get out of your taxi you know this is the right place.
bug	Eventually I gave up.
bug	The thing is that when I click the install exe file twice, there is nothing happen.
other	The day after we got married we did come back to a beautiful black forest cake in our room which almost made up for the macaron absence!
other	In addition, on the wine list there are about 5 open red wines.
other	A short run but effficient and fast, just like you need for a 7am flight.
other	-Sincerely an avid user of Pinterest
other	Breakfast - after our breakfast experience we were not tempted to try the Michelin awarded restaurant at night.
other	Installed without problem!
other	Thanks great app!!
other	Fantastic service, great position, wonderful rooms.
other	Breakfast, so much choice and the cooked stuff done fresh to order and of high quality.
other	Thanks!
bug	Now, I can't insert a new credit card, while booking.
other	Staff were so friendly, helpful, polite and available.
bug	Why can't you leave at least one app to be what it is?
bug	Could not recommend this hotel it is certainly not five star.
other	We had a balcony looking onto the street which was lovely.
other	Really???
bug	No upgrade available, hotel was full.
other	my mobile phone nokia 2730 classic 1
other	Easy to use.
other	Good place to sleep.
other	Hotel building has an old world feel setting off modern rooms in an interesting contrast
bug	I have installed MP3 Rocket but can not finished installation.
request	Please provide this .
other	Breakfast is a buffet, but it's okay.
other	and some programd are hard and with a dig size
bug	VERY DIRTY AND THE AIR CODITION WAS FULL OF DUST!
bug	The water also stopped in the middle and took 10mins to come back on because the building was fairly old.
other	Exceptional service.
other	I spent 4 nights in the hotel with a colleague.
bug	Drinks weren't cold enough.
other	Recommended by a friend, the Yurbban excelled our expectation.
other	All the staff were wonderful with excellent English, sadly my French is non-existent.
request	Do I have to uninstall Chessmaster eighth edition before I install the tenth edition?
other	Nothing
other	totally fake.
request	The taxi transfer from the airport is quite problematic so I think the hotel should propose its own existing transfer service when bookings are made.
other	And not in a consecutive way (though it can do that too) no, you just keep going back to it.
other	The location was easy to find and our room was enormous, with three large windows looking out over the harbour.
other	They made sure we felt comfortable at all times and everything went perfectly.
other	The location is in a quiet residential area of tree lined streets.
other	The hotel is seemingly in a business park near other offices and apartments.
other	Next year does not help either as it is next year today.
other	This games is very nice
other	have ruined
bug	No airport shuttle provided/offered
request	Just please bring the like button back...
other	Got several calls on the day of check in to confirm my arrival.
other	this software is a good working for data recovery
other	Absolutely nothing to complain about!
other	I was traveling with two other couples and this was our first stop on a 10 day tour of Spain.
bug	I just can't type anything.
bug	Staff is unable to keep up with guest issues, (presumably) due to the renovation and lack of qualified housekeeping and maintenance personnel.
bug	The room was decent but smelled of smoke horribly.
other	The room was decent but smelled of smoke horribly.
other	The breakfast served was super good.
bug	Disgusting!
